
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2017-07-09


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 4.0
Magnitude Max:, 6.0
Rrup Min (km):, 10.0
Rrup Max (km):, 30.0
Rjb Min (km):, 10.0
Rjb Max (km):, 30.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 15.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, 0.1
Scale Factor Max:, 10.0
Period Array:, 0.01,1,10
Weight Array:, 1,1,1
Record Sequence Number:, 4346
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 30
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 4346, 0.2759, 1.3071, -, 11.8, 21.3, 0.2, "Umbria Marche_ Italy", 1997, "Bevagna", 6.0, Normal, 18.86, 18.86, 401.34, 0.25, 1.3071, RSN4346_UBMARCHE.P_A-BEV000.AT2, RSN4346_UBMARCHE.P_A-BEV270.AT2 , RSN4346_UBMARCHE.P_A-BEV-DN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4346 SRSS pSa (g)
0.38,0.24142926,0.2609761,0.2609761,0.2609761,0.2609761
0.4,0.2293578,0.27649319,0.27649319,0.27649319,0.27649319
0.42,0.218436,0.30341412,0.30341412,0.30341412,0.30341412
0.44,0.20850709,0.35041439,0.35041439,0.35041439,0.35041439
0.45,0.2038736,0.39569997,0.39569997,0.39569997,0.39569997
0.46,0.19944156,0.44120261,0.44120261,0.44120261,0.44120261
0.48,0.1911315,0.54320369,0.54320369,0.54320369,0.54320369
0.5,0.18348624,0.63003662,0.63003662,0.63003662,0.63003662
0.55,0.16680567,0.56420068,0.56420068,0.56420068,0.56420068
0.6,0.1529052,0.42970375,0.42970375,0.42970375,0.42970375
0.65,0.14114326,0.44338053,0.44338053,0.44338053,0.44338053
0.667,0.13754591,0.44378005,0.44378005,0.44378005,0.44378005
0.7,0.1310616,0.46656313,0.46656313,0.46656313,0.46656313
0.75,0.12232416,0.44457495,0.44457495,0.44457495,0.44457495
0.8,0.1146789,0.35227545,0.35227545,0.35227545,0.35227545
0.85,0.10793308,0.30104587,0.30104587,0.30104587,0.30104587
0.9,0.1019368,0.25107042,0.25107042,0.25107042,0.25107042
0.95,0.0965717,0.22524778,0.22524778,0.22524778,0.22524778
1.0,0.09174312,0.18550805,0.18550805,0.18550805,0.18550805
1.1,0.08340284,0.13868651,0.13868651,0.13868651,0.13868651
1.2,0.0764526,0.11479289,0.11479289,0.11479289,0.11479289
1.3,0.07057163,0.11904371,0.11904371,0.11904371,0.11904371
1.4,0.0655308,0.10096474,0.10096474,0.10096474,0.10096474
1.5,0.06116208,0.06888666,0.06888666,0.06888666,0.06888666
1.6,0.05733945,0.05331843,0.05331843,0.05331843,0.05331843
1.7,0.05396654,0.05254869,0.05254869,0.05254869,0.05254869
1.8,0.0509684,0.04824123,0.04824123,0.04824123,0.04824123
1.9,0.04828585,0.04136855,0.04136855,0.04136855,0.04136855
2.0,0.04587156,0.04154045,0.04154045,0.04154045,0.04154045
2.2,0.04170142,0.04181896,0.04181896,0.04181896,0.04181896
2.4,0.0382263,0.03793496,0.03793496,0.03793496,0.03793496
2.5,0.03669725,0.03942158,0.03942158,0.03942158,0.03942158
2.6,0.03528582,0.03744529,0.03744529,0.03744529,0.03744529
2.8,0.0327654,0.03698175,0.03698175,0.03698175,0.03698175
3.0,0.03058104,0.03658508,0.03658508,0.03658508,0.03658508
3.2,0.02866973,0.03162041,0.03162041,0.03162041,0.03162041
3.4,0.02698327,0.02968516,0.02968516,0.02968516,0.02968516
3.5,0.02621232,0.02751889,0.02751889,0.02751889,0.02751889
3.6,0.02329336,0.0250637,0.0250637,0.0250637,0.0250637
3.8,0.01857058,0.02215822,0.02215822,0.02215822,0.02215822
4.0,0.01497847,0.02045743,0.02045743,0.02045743,0.02045743
4.2,0.01340981,0.01680877,0.01680877,0.01680877,0.01680877
4.4,0.01206738,0.01600181,0.01600181,0.01600181,0.01600181
4.6,0.01091797,0.01464527,0.01464527,0.01464527,0.01464527
4.8,0.00992697,0.01264049,0.01264049,0.01264049,0.01264049
5.0,0.00906105,0.01039265,0.01039265,0.01039265,0.01039265
5.5,0.00811593,0.00748742,0.00748742,0.00748742,0.00748742
6.0,0.00733945,0.00562883,0.00562883,0.00562883,0.00562883
6.5,0.00607343,0.00436634,0.00436634,0.00436634,0.00436634
7.0,0.00509684,0.00335004,0.00335004,0.00335004,0.00335004
7.5,0.00434631,0.00259573,0.00259573,0.00259573,0.00259573
8.0,0.00374462,0.00205904,0.00205904,0.00205904,0.00205904
8.5,0.00326369,0.00168238,0.00168238,0.00168238,0.00168238
9.0,0.00286697,0.00141592,0.00141592,0.00141592,0.00141592
9.5,0.00254053,0.00127123,0.00127123,0.00127123,0.00127123
10.0,0.00226526,0.00113406,0.00113406,0.00113406,0.00113406
11.0,0.0,0.00089881,0.00089881,0.00089881,0.00089881
12.0,0.0,0.00074465,0.00074465,0.00074465,0.00074465
13.0,0.0,0.00064429,0.00064429,0.00064429,0.00064429
14.0,0.0,0.00056398,0.00056398,0.00056398,0.00056398
15.0,0.0,0.00049736,0.00049736,0.00049736,0.00049736
20.0,0.0,0.00028772,0.00028772,0.00028772,0.00028772

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-4346 Horizontal-1 pSa (g),RSN-4346 Horizontal-2 pSa (g),RSN-4346 Vertical pSa (g)
0.01,0.0734501,0.07855941,0.0368
0.02,0.07491373,0.07899878,0.0372
0.022,0.07452306,0.07889797,0.0374
0.025,0.07535457,0.07928494,0.0376
0.029,0.07645576,0.0797983,0.038
0.03,0.07599699,0.0799425,0.038
0.032,0.07588194,0.08006448,0.0383
0.035,0.08153053,0.0787251,0.0376
0.036,0.08176324,0.07924446,0.038
0.04,0.07778408,0.08407429,0.0401
0.042,0.07674822,0.08463604,0.0403
0.044,0.08127531,0.08310883,0.0422
0.045,0.08213452,0.08215563,0.0441
0.046,0.08165167,0.08092223,0.0467
0.048,0.08100826,0.08109709,0.0509
0.05,0.0848554,0.08077597,0.0542
0.055,0.09190554,0.08323056,0.0565
0.06,0.09863043,0.09038936,0.0775
0.065,0.09437645,0.08703531,0.1
0.067,0.09733135,0.08848965,0.111
0.07,0.09232894,0.09769297,0.128
0.075,0.09173796,0.1150095,0.128
0.08,0.1071886,0.1284619,0.112
